"Eastern Date Hour","Zone Name","Zone PTID","TWI Zonal LBMP","TWI Zonal Losses","TWI Zonal Congestion","TWI Zonal Price Version"
"2016/01/01 23:00:00","LONGIL","61762","35.52","-1.23","-46.28","4"
"2016/01/01 23:00:00","MHK VL","61756","-1.03","-0.27","-8.77","4"
"2016/01/01 23:00:00","MILLWD","61759","36.1","-0.92","-46.56","4"
"2016/01/01 23:00:00","N.Y.C.","61761","35.79","-0.94","-46.27","4"
"2016/01/01 23:00:00","NORTH","61755","-9.2","0.33","0","4"
"2016/01/01 23:00:00","WEST","61752","-1.62","0.68","-7.24","4"
"2016/01/02 00:00:00","CAPITL","61757","31.46","-0.44","-38.6","4"
"2016/01/02 00:00:00","CENTRL","61754","-2.3","0","-4.41","4"
"2016/01/02 00:00:00","DUNWOD","61760","21.71","-0.56","-28.97","4"
"2016/01/02 00:00:00","GENESE","61753","-2.89","0.24","-3.57","4"
"2016/01/02 00:00:00","HUD VL","61758","21.43","-0.55","-28.68","4"
"2016/01/02 00:00:00","LONGIL","61762","21.57","-0.72","-28.99","4"
"2016/01/02 00:00:00","MHK VL","61756","-1.25","-0.16","-5.61","4"
"2016/01/02 00:00:00","MILLWD","61759","21.88","-0.57","-29.16","4"
"2016/01/02 00:00:00","N.Y.C.","61761","21.71","-0.58","-28.98","4"
"2016/01/02 00:00:00","NORTH","61755","-6.47","0.23","0","4"
"2016/01/02 00:00:00","WEST","61752","-1.82","0.34","-4.53","4"
"2016/01/02 01:00:00","CAPITL","61757","38.74","-0.12","-40.78","4"
"2016/01/02 01:00:00","CENTRL","61754","2.74","0","-4.66","4"
"2016/01/02 01:00:00","DUNWOD","61760","28.53","-0.14","-30.59","4"
"2016/01/02 01:00:00","GENESE","61753","1.9","0.05","-3.77","4"
"2016/01/02 01:00:00","HUD VL","61758","28.24","-0.14","-30.3","4"
"2016/01/02 01:00:00","LONGIL","61762","28.51","-0.19","-30.61","4"
"2016/01/02 01:00:00","MHK VL","61756","4.21","-0.04","-6.17","4"
"2016/01/02 01:00:00","MILLWD","61759","28.72","-0.15","-30.78","4"
"2016/01/02 01:00:00","N.Y.C.","61761","28.54","-0.15","-30.61","4"
"2016/01/02 01:00:00","NORTH","61755","-1.85","0.07","0","4"
"2016/01/02 01:00:00","WEST","61752","2.95","0.08","-4.79","4"
"2016/01/02 02:00:00","CAPITL","61757","44.48","-0.31","-49.63","4"
"2016/01/02 02:00:00","CENTRL","61754","0.83","0","-5.67","4"
"2016/01/02 02:00:00","DUNWOD","61760","32","-0.37","-37.21","4"
"2016/01/02 02:00:00","GENESE","61753","-0.11","0.14","-4.58","4"
"2016/01/02 02:00:00","HUD VL","61758","31.68","-0.38","-36.89","4"
"2016/01/02 02:00:00","LONGIL","61762","31.93","-0.47","-37.24","4"
"2016/01/02 02:00:00","MHK VL","61756","2.63","-0.12","-7.58","4"
"2016/01/02 02:00:00","MILLWD","61759","32.22","-0.39","-37.44","4"
"2016/01/02 02:00:00","N.Y.C.","61761","32.01","-0.39","-37.23","4"
"2016/01/02 02:00:00","NORTH","61755","-4.65","0.18","0","4"
"2016/01/02 02:00:00","WEST","61752","1.2","0.21","-5.82","4"
"2016/01/02 03:00:00","CAPITL","61757","49.46","-0.34","-54.98","4"
"2016/01/02 03:00:00","CENTRL","61754","1.09","-0.01","-6.28","4"
"2016/01/02 03:00:00","DUNWOD","61760","35.66","-0.39","-41.23","4"
"2016/01/02 03:00:00","GENESE","61753","0.05","0.15","-5.07","4"
"2016/01/02 03:00:00","HUD VL","61758","35.31","-0.4","-40.89","4"
"2016/01/02 03:00:00","LONGIL","61762","35.59","-0.49","-41.26","4"
"2016/01/02 03:00:00","MHK VL","61756","3.16","-0.13","-8.47","4"
"2016/01/02 03:00:00","MILLWD","61759","35.91","-0.4","-41.49","4"
"2016/01/02 03:00:00","N.Y.C.","61761","35.68","-0.4","-41.25","4"
"2016/01/02 03:00:00","NORTH","61755","-4.99","0.19","0","4"
"2016/01/02 03:00:00","WEST","61752","1.48","0.2","-6.45","4"
"2016/01/02 04:00:00","CAPITL","61757","29.72","-0.17","-32.59","4"
"2016/01/02 04:00:00","CENTRL","61754","1.02","0","-3.72","4"
"2016/01/02 04:00:00","DUNWOD","61760","21.54","-0.21","-24.44","3"
"2016/01/02 04:00:00","GENESE","61753","0.39","0.08","-3.01","3"
"2016/01/02 04:00:00","HUD VL","61758","21.34","-0.21","-24.24","3"
"2016/01/02 04:00:00","LONGIL","61762","21.51","-0.26","-24.46","3"
"2016/01/02 04:00:00","MHK VL","61756","2.28","-0.07","-5.05","3"
"2016/01/02 04:00:00","MILLWD","61759","21.69","-0.21","-24.6","3"
"2016/01/02 04:00:00","N.Y.C.","61761","21.55","-0.21","-24.46","3"
"2016/01/02 04:00:00","NORTH","61755","-2.6","0.09","0","3"
"2016/01/02 04:00:00","WEST","61752","1.24","0.11","-3.82","3"
"2016/01/02 05:00:00","CAPITL","61757","38.11","-0.44","-44.93","4"
"2016/01/02 05:00:00","CENTRL","61754","-1.32","-0.04","-5.11","4"
"2016/01/02 05:00:00","DUNWOD","61760","26.78","-0.51","-33.68","4"
"2016/01/02 05:00:00","GENESE","61753","-2.11","0.14","-4.15","4"
"2016/01/02 05:00:00","HUD VL","61758","26.52","-0.51","-33.42","4"
"2016/01/02 05:00:00","LONGIL","61762","26.69","-0.62","-33.71","4"
"2016/01/02 05:00:00","MHK VL","61756","0.36","-0.18","-6.93","4"
"2016/01/02 05:00:00","MILLWD","61759","26.98","-0.52","-33.89","4"
"2016/01/02 05:00:00","N.Y.C.","61761","26.78","-0.53","-33.71","4"
"2016/01/02 05:00:00","NORTH","61755","-6.16","0.23","0","4"
"2016/01/02 05:00:00","WEST","61752","-0.93","0.2","-5.27","4"
"2016/01/02 06:00:00","CAPITL","61757","28.54","0.32","-23.04","4"
"2016/01/02 06:00:00","CENTRL","61754","7.82","0.01","-2.63","4"
"2016/01/02 06:00:00","DUNWOD","61760","22.9","0.46","-17.28","4"
"2016/01/02 06:00:00","GENESE","61753","7.14","-0.16","-2.13","4"
"2016/01/02 06:00:00","HUD VL","61758","22.76","0.44","-17.14","4"
"2016/01/02 06:00:00","LONGIL","61762","23.03","0.57","-17.29","4"
"2016/01/02 06:00:00","MHK VL","61756","8.8","0.14","-3.49","4"
"2016/01/02 06:00:00","MILLWD","61759","23.02","0.47","-17.38","4"
"2016/01/02 06:00:00","N.Y.C.","61761","22.94","0.48","-17.29","4"
"2016/01/02 06:00:00","NORTH","61755","4.99","-0.18","0","4"
"2016/01/02 06:00:00","WEST","61752","7.64","-0.24","-2.7","4"
"2016/01/02 07:00:00","CAPITL","61757","3.29","0.17","-0.58","3"
"2016/01/02 07:00:00","CENTRL","61754","2.61","0.01","-0.07","4"
"2016/01/02 07:00:00","DUNWOD","61760","3.21","0.23","-0.44","4"
"2016/01/02 07:00:00","GENESE","61753","2.49","-0.1","-0.05","4"
"2016/01/02 07:00:00","HUD VL","61758","3.2","0.23","-0.43","4"
"2016/01/02 07:00:00","LONGIL","61762","3.27","0.29","-0.44","4"
"2016/01/02 07:00:00","MHK VL","61756","2.7","0.08","-0.09","3"
"2016/01/02 07:00:00","MILLWD","61759","3.22","0.24","-0.44","4"
